Columna1,Columna2,Columna3,Columna4,Columna5,Columna6,Columna7
Apr 21 2022,448917,451294,438447,439366.00,439366,3833570000
Apr 22 2022,438583,438583,426762,427178.00,427178,3930660000
Apr 25 2022,425534,429902,420082,429612.00,429612,4061070000
Apr 26 2022,427814,427814,417504,41752.00,417520,3760420000
Apr 27 2022,418652,424071,416290,418396.00,418396,3876340000
Apr 28 2022,422258,430845,418863,42875.00,428750,3969440000
Apr 29 2022,425375,426968,412428,413193.00,413193,3943480000
May 02 2022,413061,416981,406251,415538.00,415538,4474060000
May 03 2022,415978,420010,414708,417548.00,417548,3877530000
May 04 2022,418118,430766,414891,430017.00,430017,4236210000
May 05 2022,427043,427043,410601,414687.00,414687,4197620000
May 06 2022,412817,415769,406791,412334.00,412334,4254300000
May 09 2022,408127,408127,397548,399124.00,399124,4746120000
May 10 2022,403518,406882,395817,400105.00,400105,4630150000
May 11 2022,399008,404909,392882,393518.00,393518,4683220000
May 12 2022,390395,396480,385887,393008.00,393008,4964130000
May 13 2022,396390,403888,396390,402389.00,402389,4142950000
May 16 2022,401302,404646,398399,400801.00,400801,3824320000
May 17 2022,405200,409072,403393,408885.00,408885,3846580000
May 18 2022,405198,405198,391191,392368.00,392368,4428960000
May 19 2022,389900,394596,387658,390079.00,390079,4212140000
May 20 2022,392776,394342,381032,390136.00,390136,4278520000
May 23 2022,391942,398188,390904,397375.00,397375,3392770000
May 24 2022,394294,395568,387513,394148.00,394148,3901640000
May 25 2022,392959,399933,392503,397873.00,397873,4322190000
May 26 2022,398460,407514,398460,405784.00,405784,3961940000
May 27 2022,407743,415849,407743,415824.00,415824,3560560000
May 31 2022,415109,416834,410488,413215.00,413215,5192220000
Jun 01 2022,414978,416654,407385,410123.00,410123,4145710000
Jun 02 2022,409541,417751,407437,417682.00,417682,3604930000
Jun 03 2022,413757,414267,409867,410854.00,410854,3107080000
Jun 06 2022,413472,416878,410918,412143.00,412143,3852050000
Jun 07 2022,409647,416486,408019,416068.00,416068,3476470000
Jun 08 2022,414712,416014,410720,411577.00,411577,3090180000
Jun 09 2022,410165,411910,401717,401782.00,401782,3192330000
Jun 10 2022,397439,397439,390016,390086.00,390086,3936120000
Jun 13 2022,383815,383815,373430,374963.00,374963,4572820000
Jun 14 2022,376352,377818,370568,373548.00,373548,4126400000
Jun 15 2022,376405,383756,372230,378999.00,378999,4474610000
Jun 16 2022,372818,372818,363977,366677.00,366677,4511200000
Jun 17 2022,366590,370771,363687,367484.00,367484,6954110000
Jun 21 2022,371531,377965,371531,376479.00,376479,4124600000
Jun 22 2022,373389,380179,371769,375989.00,375989,4342270000
Jun 23 2022,377471,380258,374352,379573.00,379573,4078100000
